id,Institution Name,Institution GND,Institution Lat,Institution Lng,located at,location geonames ID,location Lat,location Lng,part of,type of location,institution website
298,University of Pennsylvania,http://d-nb.info/gnd/1071874950,39.952218,-75.193209,University City,4561871,39.95071,-75.19476,United States,city,http://www.upenn.edu
299,University of Oregon,http://d-nb.info/gnd/10140521-2,44.04483,-123.072606,Eugene,5725846,44.05207,-123.08675,United States,city,https://uoregon.edu
300,University of North Carolina,http://d-nb.info/gnd/74337-9,35.904917,-79.046881,Chapel Hill,4460162,35.9132,-79.05584,United States,city,http://www.unc.edu
301,University of Nebraska,http://d-nb.info/gnd/1034526-7,40.816929,-96.702476,Lincoln,5072006,40.8,-96.66696,United States,city,https://www.unl.edu
302,University of Maryland,http://d-nb.info/gnd/1048209997,38.986931,-76.942555,College Park,4351977,38.98067,-76.93692,United States,city,https://www.umd.edu
303,University of Kentucky,http://d-nb.info/gnd/1042848-3,38.0368,-84.5053,Hollywood,4295089,38.02786,-84.49355,United States,city,http://www.uky.edu/UKHome/
304,University of Chicago Library,http://d-nb.info/gnd/64684-2,41.792179,-87.59993,Chicago,4887398,41.85003,-87.65005,United States,city,https://www.lib.uchicago.edu
305,University of California Irvine,http://d-nb.info/gnd/26537-8,33.6506,-117.8425,Irvine,5359777,33.66946,-117.82311,United States,city,https://uci.edu
306,University of California,http://d-nb.info/gnd/2025100-2,37.8773,-122.2451,Southside,11126294,37.86747,-122.25281,United States,city,https://www.universityofcalifornia.edu
307,University of California Press,http://d-nb.info/gnd/5087401-9,37.949408,-122.367276,Richmond,5387428,37.93576,-122.34775,United States,city,http://www.ucpress.edu
308,California Digital Library,,37.808471,-122.267483,Oakland,5378538,37.80437,-122.2708,United States,city,http://www.cdlib.org
309,University of Delaware Library,http://d-nb.info/gnd/1218629-6,39.678132,-75.752913,Newark,4143861,39.68372,-75.74966,United States,city,https://library.udel.edu/
310,Texas A&M University,http://d-nb.info/gnd/140763-6,30.613301,-96.339906,Spear,4733497,30.60159,-96.33691,United States,city,https://www.tamu.edu
311,Southeastern Louisiana University,http://d-nb.info/gnd/10038746-9,30.51933,-90.469962,Hammond,4326868,30.50463,-90.46293,United States,city,https://www.southeastern.edu
312,Society of Biblical Literature,http://d-nb.info/gnd/4181719-9,33.801862,-84.320123,Turner Village,4227430,33.80094,-84.3277,United States,city,https://www.sbl-site.org
313,Rutgers University,http://d-nb.info/gnd/5281802-0,40.500886,-74.447373,New Brunswick,5101717,40.48622,-74.45182,United States,city,http://www.rutgers.edu
314,Roy Rosenzweig Center for History and New Media (George Mason University),,38.83323,-77.3082,Green Acres,4762018,38.83983,-77.3036,United States,city,https://rrchnm.org
315,Princeton University,http://d-nb.info/gnd/1011480-4,40.343985,-74.651459,Princeton,5102922,40.34872,-74.65905,United States,city,https://www.princeton.edu
316,Princeton University Library,http://d-nb.info/gnd/1011480-4,40.350503,-74.65703,Princeton,5102922,40.34872,-74.65905,United States,city,http://library.princeton.edu/lewis
317,Northwestern University Library,http://d-nb.info/gnd/1044287-X,42.0537,-87.6733,South Evanston,4911902,42.03725,-87.68061,United States,city,http://www.library.northwestern.edu
318,New York Public Library,http://d-nb.info/gnd/1024673-3,40.7538,-73.9817,New York City,5128581,40.71427,-74.00597,United States,city,https://www.nypl.org
319,Maryland Institute of Technology in the Humanities (MITH),,38.98597,-76.94505,College Park,4351977,38.98067,-76.93692,United States,city,http://mith.umd.edu
320,Loyola University Chicago,http://d-nb.info/gnd/10072143-6,41.999803,-87.658218,North Edgewater,4903885,41.99337,-87.66228,United States,city,http://www.luc.edu
321,Harry Ransom Humanities Research Center,http://d-nb.info/gnd/3018790-4,30.284362,-97.741263,Austin,4671654,30.26715,-97.74306,United States,city,http://www.hrc.utexas.edu
322,Getty Research Institute,http://d-nb.info/gnd/10069245-X,34.076908,-118.475506,Westgate Heights,5408363,34.0664,-118.47314,United States,city,http://www.getty.edu/research/
323,Folger Shakespeare Library,http://d-nb.info/gnd/16140610-5,38.889369,-77.002748,Washington DC,4138106,38.91706,-77.00025,United States,city,http://www.folger.edu
324,Brown University,http://d-nb.info/gnd/221387-4,41.82639,-71.40021,Providence,5224151,41.82399,-71.41283,United States,city,https://www.brown.edu
325,Brown University Library,,41.826973,-71.400167,Providence,5224151,41.82399,-71.41283,United States,city,https://library.brown.edu/
326,Massachusetts Historical Society,http://d-nb.info/gnd/11279-3,42.346561,-71.089896,Boston,4930956,42.35843,-71.05977,United States,city,http://www.masshist.org/
327,John Hay Library,http://d-nb.info/gnd/3020124-X,41.826461,-71.404972,Providence,5224151,41.82399,-71.41283,United States,city,https://library.brown.edu/hay/
328,Bowling Green State University,http://d-nb.info/gnd/1010847-6,41.3771,-83.6266,Bowling Green,5147968,41.37477,-83.65132,United States,city,https://www.bgsu.edu
329,Arizona State University,http://d-nb.info/gnd/1039847-8,33.6094,-112.1597,Tempe,5317058,33.41477,-111.90931,United States,city,https://www.asu.edu
330,California Institute of Technology,http://d-nb.info/gnd/5084090-3,34.137657,-118.125291,Oak Knoll,5378360,34.12445,-118.1359,United States,city,http://www.caltech.edu
331,University of Ohio,,39.324446,-82.101417,Athens,4505542,39.32924,-82.10126,United States,city,https://www.ohio.edu
332,University of California Santa Barbara,http://d-nb.info/gnd/1055045-8,34.413936,-119.848979,Santa Barbara,5392952,34.42083,-119.69819,United States,city,https://www.ucsb.edu
333,University of Michigan,http://d-nb.info/gnd/1011457-9,42.27804,-83.738239,Ann Arbor,4984247,42.27756,-83.74088,United States,city,http://www.umich.edu
334,Intelex Corporation,,38.030571,-78.481133,Charlottesville,4752031,38.02931,-78.47668,United States,city,http://www.nlx.com/home
335,University of Pittsburgh (Department of Slavic Languages and Literatures),http://d-nb.info/gnd/1017785-1,40.444269,-79.953289,Pittsburgh,5206379,40.44062,-79.99589,United States,city,http://www.slavic.pitt.edu
336,American Council of Learned Societies,http://d-nb.info/gnd/40535-8,40.749655,-73.974965,Tudor City,6332416,40.74861,-73.97139,United States,city,http://www.acls.org
337,Institute for the Study of the Ancient World,http://d-nb.info/gnd/16064297-8,40.779927,-73.960265,New York City,5128581,40.71427,-74.00597,United States,city,http://isaw.nyu.edu
338,Google,http://d-nb.info/gnd/10122609-3,37.41986,-122.078831,Palo Alto,5380748,37.44188,-122.14302,United States,city,https://www.google.com
339,University of Michigan Press,,42.270756,-83.746844,Ann Arbor,4984247,42.27756,-83.74088,United States,city,https://www.press.umich.edu
340,Center for Hellenic Studies,http://d-nb.info/gnd/1014955-7,38.917565,-77.062046,Washington DC,4138106,38.91706,-77.00025,United States,city,https://chs.harvard.edu
341,Harvard University Archives,http://d-nb.info/gnd/4638718-3,42.376992,-71.116672,Cambridge,4931972,42.3751,-71.10561,United States,city,https://www.harvard.edu/
342,Library of Congress,,38.888703,-77.004714,Washington DC,4138106,38.91706,-77.00025,United States,city,https://www.loc.gov/
343,Rochester Institute of Technology,http://d-nb.info/gnd/5011237-5,43.086106,-77.670501,Rochester,5134086,43.15478,-77.61556,United States,city,http://www.rit.edu
344,Indiana University of Pennsylvania,http://d-nb.info/gnd/1051854-X,40.614226,-79.161084,Indiana,4921868,40.00032,-86.25027,United States,city,https://www.iup.edu
345,Ball State University,http://d-nb.info/gnd/1018621-9,40.206105,-85.406993,Muncie,4924006,40.19338,-85.38636,United States,city,http://cms.bsu.edu
346,Brigham Young University,http://d-nb.info/gnd/35653-0,40.251872,-111.649377,Provo,5780026,40.23384,-111.65853,United States,city,https://home.byu.edu/home/
347,Buffalo Bill Center of the West,http://d-nb.info/gnd/1047846179,44.525615,-109.073314,Cody,1586861,44.523333,-109.057222,United States,city,https://centerofthewest.org
348,Dumbarton Oaks,,38.914149,-77.064011,Washington DC,4138106,38.91706,-77.00025,United States,city,http://www.doaks.org
349,"Huntingon Library, Art Collections, and Botanical Gardens",,34.129041,-118.114517,San Marino,5392400,34.1214,-118.10646,United States,city,http://www.huntington.org
350,Houghton Library,http://d-nb.info/gnd/2037118-4,42.373169,-71.115915,Cambridge,4931972,42.3751,-71.10561,United States,city,http://hcl.harvard.edu/libraries/houghton/
351,Gladys Krieble Delmas Foundation,,40.751219,-73.979982,New York City,5128581,40.71427,-74.00597,United States,city,http://delmas.org
352,The Morgan Library and Museum,http://d-nb.info/gnd/10156282-2,40.749242,-73.981392,New York City,5128581,40.71427,-74.00597,United States,city,http://www.themorgan.org/
353,Ramapo College of New Jersey,http://d-nb.info/gnd/5200098-9,41.081503,-74.174627,Mahwah,5100776,41.08871,-74.14376,United States,city,https://www.ramapo.edu
354,Trinity University,,29.461845,-98.483159,San Antonio,4726206,29.42412,-98.49363,United States,city,https://new.trinity.edu/
355,Beinecke Rare Book and Manuscript Library,http://d-nb.info/gnd/1097100-2,41.311597,-72.92726,New Haven,4839366,41.30815,-72.92816,United States,city,http://beinecke.library.yale.edu/
356,American Antiquarian Society,http://d-nb.info/gnd/6816-0,42.277365,-71.810317,Worcester,4956184,42.26259,-71.80229,United States,city,http://www.americanantiquarian.org/
357,Amherst College,http://d-nb.info/gnd/44721-3,42.370921,-72.517003,Amherst,4929022,42.36723,-72.51852,United States,city,https://www.amherst.edu/
358,Maine State Library,http://d-nb.info/gnd/5114730-0,44.306128,-69.782739,Augusta,4957003,44.31062,-69.77949,United States,city,http://www.maine.gov/msl/
359,Boston Public Library,http://d-nb.info/gnd/1030395-9,42.349427,-71.078826,Boston,4930956,42.35843,-71.05977,United States,city,http://www.bpl.org/
